======== App is starting ============================
==================================================
HS3003 App w/ State Machine Initialized (Python)
==================================================
[DATA] Temp: 34.32 °C | Hum: 46.57 %RH | State: NORMAL
[DATA] Temp: 34.27 °C | Hum: 46.81 %RH | State: NORMAL
[DATA] Temp: 34.24 °C | Hum: 46.99 %RH | State: NORMAL
[DATA] Temp: 34.21 °C | Hum: 47.01 %RH | State: NORMAL
[DATA] Temp: 34.17 °C | Hum: 47.09 %RH | State: NORMAL
[DATA] Temp: 34.15 °C | Hum: 47.02 %RH | State: NORMAL
[DATA] Temp: 34.12 °C | Hum: 47.15 %RH | State: NORMAL
[DATA] Temp: 34.08 °C | Hum: 47.17 %RH | State: NORMAL
[DATA] Temp: 34.06 °C | Hum: 46.97 %RH | State: NORMAL
[DATA] Temp: 34.03 °C | Hum: 46.99 %RH | State: NORMAL
