[ALERT (SUDDEN IMPACT)] | Net Accel: 9.97 m/s² | Gyro: 1.6°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 9.98 m/s² | Gyro: 1.5°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 9.97 m/s² | Gyro: 1.9°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 9.97 m/s² | Gyro: 1.7°/s
[ALERT (SUDDEN IMPACT)] | Net Accel: 9.97 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.3°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 4.2°/s
[NORMAL REST] | Net Accel: 10.00 m/s² | Gyro: 3.9°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 3.1°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.8°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.1°/s
[NORMAL REST] | Net Accel: 9.99 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.6°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.99 m/s² | Gyro: 1.3°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.5°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.99 m/s² | Gyro: 2.2°/s
[NORMAL REST] | Net Accel: 9.97 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.4°/s
[NORMAL REST] | Net Accel: 9.98 m/s² | Gyro: 1.5°/s
